year,province,source_income1,source_income2,source_income3,soc_eco_class1,soc_eco_class2,value,unit,attribute,source
2566,พิษณุโลก,รายได้ประจำ,รายได้ที่เป็นตัวเงิน,เงินที่ได้รับเป็นการช่วยเหลือ,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,ปลูกพืช/เลี้ยงสัตว์/เพาะเลี้ยง_ส่วนใหญ่เป็นเจ้าของที่ดิน,2050.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,พิษณุโลก,รายได้ประจำ,รายได้ที่เป็นตัวเงิน,รายได้จากทรัพย์สิน,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,ปลูกพืช/เลี้ยงสัตว์/เพาะเลี้ยง_ส่วนใหญ่เป็นเจ้าของที่ดิน,36.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,พิษณุโลก,รายได้ประจำ,รายได้ที่ไม่เป็นตัวเงิน,รายได้ที่ไม่เป็นตัวเงิน,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,ปลูกพืช/เลี้ยงสัตว์/เพาะเลี้ยง_ส่วนใหญ่เป็นเจ้าของที่ดิน,4305.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,พิษณุโลก,รายได้ไม่ประจำ (ที่เป็นตัวเงิน),รายได้ไม่ประจำ (ที่เป็นตัวเงิน),รายได้ไม่ประจำ (ที่เป็นตัวเงิน),ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,ปลูกพืช/เลี้ยงสัตว์/เพาะเลี้ยง_ส่วนใหญ่เป็นเจ้าของที่ดิน,204.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,พิษณุโลก,รายได้ประจำ,รายได้ประจำ,รายได้ประจำ,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,ปลูกพืช/เลี้ยงสัตว์/เพาะเลี้ยง_ส่วนใหญ่เช่าที่ดิน/ทำฟรี,31524.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,พิษณุโลก,รายได้ประจำ,รายได้ที่เป็นตัวเงิน,รายได้ที่เป็นตัวเงิน,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,ปลูกพืช/เลี้ยงสัตว์/เพาะเลี้ยง_ส่วนใหญ่เช่าที่ดิน/ทำฟรี,27182.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,พิษณุโลก,รายได้ประจำ,รายได้ที่เป็นตัวเงิน,ค่าจ้างและเงินเดือน,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,ปลูกพืช/เลี้ยงสัตว์/เพาะเลี้ยง_ส่วนใหญ่เช่าที่ดิน/ทำฟรี,941.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,พิษณุโลก,รายได้ทั้งสิ้นต่อเดือน,รายได้ทั้งสิ้นต่อเดือน,รายได้ทั้งสิ้นต่อเดือน,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,ปลูกพืช/เลี้ยงสัตว์/เพาะเลี้ยง_ส่วนใหญ่เช่าที่ดิน/ทำฟรี,31725.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,พิษณุโลก,รายได้ประจำ,รายได้ที่เป็นตัวเงิน,กำไรสุทธิจากการทำธุรกิจ,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,ปลูกพืช/เลี้ยงสัตว์/เพาะเลี้ยง_ส่วนใหญ่เช่าที่ดิน/ทำฟรี,0.0,บาท,ศูนย์ยกกำลังดับเบิลยู หมายถึง ข้อมูลจากการสำรวจตัวอย่างมีค่าเป็น 0,สำนักงานสถิติแห่งชาติ
2566,พิษณุโลก,รายได้ประจำ,รายได้ที่เป็นตัวเงิน,กำไรสุทธิจากการทำการเกษตร,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,ปลูกพืช/เลี้ยงสัตว์/เพาะเลี้ยง_ส่วนใหญ่เช่าที่ดิน/ทำฟรี,24549.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,พิษณุโลก,รายได้ประจำ,รายได้ที่เป็นตัวเงิน,เงินที่ได้รับเป็นการช่วยเหลือ,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,ปลูกพืช/เลี้ยงสัตว์/เพาะเลี้ยง_ส่วนใหญ่เช่าที่ดิน/ทำฟรี,1657.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,พิษณุโลก,รายได้ประจำ,รายได้ที่เป็นตัวเงิน,รายได้จากทรัพย์สิน,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,ปลูกพืช/เลี้ยงสัตว์/เพาะเลี้ยง_ส่วนใหญ่เช่าที่ดิน/ทำฟรี,35.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,พิษณุโลก,รายได้ประจำ,รายได้ที่ไม่เป็นตัวเงิน,รายได้ที่ไม่เป็นตัวเงิน,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,ปลูกพืช/เลี้ยงสัตว์/เพาะเลี้ยง_ส่วนใหญ่เช่าที่ดิน/ทำฟรี,4342.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,พิษณุโลก,รายได้ไม่ประจำ (ที่เป็นตัวเงิน),รายได้ไม่ประจำ (ที่เป็นตัวเงิน),รายได้ไม่ประจำ (ที่เป็นตัวเงิน),ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,ปลูกพืช/เลี้ยงสัตว์/เพาะเลี้ยง_ส่วนใหญ่เช่าที่ดิน/ทำฟรี,201.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,พิษณุโลก,รายได้ทั้งสิ้นต่อเดือน,รายได้ทั้งสิ้นต่อเดือน,รายได้ทั้งสิ้นต่อเดือน,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,ประมงป่าไม้ล่าสัตว์หาของป่าบริการทางการเกษตร,18980.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,พิษณุโลก,รายได้ประจำ,รายได้ประจำ,รายได้ประจำ,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,ประมงป่าไม้ล่าสัตว์หาของป่าบริการทางการเกษตร,18934.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,พิษณุโลก,รายได้ประจำ,รายได้ที่เป็นตัวเงิน,รายได้ที่เป็นตัวเงิน,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,ประมงป่าไม้ล่าสัตว์หาของป่าบริการทางการเกษตร,14166.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,พิษณุโลก,รายได้ประจำ,รายได้ที่เป็นตัวเงิน,ค่าจ้างและเงินเดือน,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,ประมงป่าไม้ล่าสัตว์หาของป่าบริการทางการเกษตร,201.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,พิษณุโลก,รายได้ประจำ,รายได้ที่เป็นตัวเงิน,กำไรสุทธิจากการทำธุรกิจ,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,ประมงป่าไม้ล่าสัตว์หาของป่าบริการทางการเกษตร,481.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,พิษณุโลก,รายได้ประจำ,รายได้ที่เป็นตัวเงิน,กำไรสุทธิจากการทำการเกษตร,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,ประมงป่าไม้ล่าสัตว์หาของป่าบริการทางการเกษตร,12329.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,พิษณุโลก,รายได้ประจำ,รายได้ที่เป็นตัวเงิน,เงินที่ได้รับเป็นการช่วยเหลือ,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,ประมงป่าไม้ล่าสัตว์หาของป่าบริการทางการเกษตร,1149.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,พิษณุโลก,รายได้ประจำ,รายได้ที่เป็นตัวเงิน,รายได้จากทรัพย์สิน,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,ประมงป่าไม้ล่าสัตว์หาของป่าบริการทางการเกษตร,6.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,พิษณุโลก,รายได้ประจำ,รายได้ที่ไม่เป็นตัวเงิน,รายได้ที่ไม่เป็นตัวเงิน,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,ประมงป่าไม้ล่าสัตว์หาของป่าบริการทางการเกษตร,4768.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,พิษณุโลก,รายได้ไม่ประจำ (ที่เป็นตัวเงิน),รายได้ไม่ประจำ (ที่เป็นตัวเงิน),รายได้ไม่ประจำ (ที่เป็นตัวเงิน),ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,ประมงป่าไม้ล่าสัตว์หาของป่าบริการทางการเกษตร,46.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,พิษณุโลก,รายได้ประจำ,รายได้ที่เป็นตัวเงิน,รายได้ที่เป็นตัวเงิน,ลูกจ้าง,คนงานเกษตรป่าไม้และประมง,12715.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,พิษณุโลก,รายได้ประจำ,รายได้ที่เป็นตัวเงิน,ค่าจ้างและเงินเดือน,ลูกจ้าง,คนงานเกษตรป่าไม้และประมง,11798.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,พิษณุโลก,รายได้ประจำ,รายได้ที่ไม่เป็นตัวเงิน,รายได้ที่ไม่เป็นตัวเงิน,ลูกจ้าง,เสมียนพนักงานขายและให้บริการ,4167.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,พิษณุโลก,รายได้ทั้งสิ้นต่อเดือน,รายได้ทั้งสิ้นต่อเดือน,รายได้ทั้งสิ้นต่อเดือน,ผู้ประกอบธุรกิจของตนเองที่ไม่ใช่การเกษตร,ผู้ประกอบธุรกิจของตนเองที่ไม่ใช่การเกษตร,29130.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,พิษณุโลก,รายได้ประจำ,รายได้ประจำ,รายได้ประจำ,ผู้ประกอบธุรกิจของตนเองที่ไม่ใช่การเกษตร,ผู้ประกอบธุรกิจของตนเองที่ไม่ใช่การเกษตร,28976.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,พิษณุโลก,รายได้ประจำ,รายได้ที่เป็นตัวเงิน,รายได้ที่เป็นตัวเงิน,ผู้ประกอบธุรกิจของตนเองที่ไม่ใช่การเกษตร,ผู้ประกอบธุรกิจของตนเองที่ไม่ใช่การเกษตร,24189.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,พิษณุโลก,รายได้ประจำ,รายได้ที่เป็นตัวเงิน,ค่าจ้างและเงินเดือน,ผู้ประกอบธุรกิจของตนเองที่ไม่ใช่การเกษตร,ผู้ประกอบธุรกิจของตนเองที่ไม่ใช่การเกษตร,2410.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,พิษณุโลก,รายได้ประจำ,รายได้ที่เป็นตัวเงิน,กำไรสุทธิจากการทำธุรกิจ,ผู้ประกอบธุรกิจของตนเองที่ไม่ใช่การเกษตร,ผู้ประกอบธุรกิจของตนเองที่ไม่ใช่การเกษตร,19234.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,พิษณุโลก,รายได้ประจำ,รายได้ที่เป็นตัวเงิน,กำไรสุทธิจากการทำการเกษตร,ผู้ประกอบธุรกิจของตนเองที่ไม่ใช่การเกษตร,ผู้ประกอบธุรกิจของตนเองที่ไม่ใช่การเกษตร,408.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,พิษณุโลก,รายได้ประจำ,รายได้ที่เป็นตัวเงิน,เงินที่ได้รับเป็นการช่วยเหลือ,ผู้ประกอบธุรกิจของตนเองที่ไม่ใช่การเกษตร,ผู้ประกอบธุรกิจของตนเองที่ไม่ใช่การเกษตร,1835.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,พิษณุโลก,รายได้ประจำ,รายได้ที่เป็นตัวเงิน,รายได้จากทรัพย์สิน,ผู้ประกอบธุรกิจของตนเองที่ไม่ใช่การเกษตร,ผู้ประกอบธุรกิจของตนเองที่ไม่ใช่การเกษตร,302.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,พิษณุโลก,รายได้ประจำ,รายได้ที่ไม่เป็นตัวเงิน,รายได้ที่ไม่เป็นตัวเงิน,ผู้ประกอบธุรกิจของตนเองที่ไม่ใช่การเกษตร,ผู้ประกอบธุรกิจของตนเองที่ไม่ใช่การเกษตร,4787.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,พิษณุโลก,รายได้ไม่ประจำ (ที่เป็นตัวเงิน),รายได้ไม่ประจำ (ที่เป็นตัวเงิน),รายได้ไม่ประจำ (ที่เป็นตัวเงิน),ผู้ประกอบธุรกิจของตนเองที่ไม่ใช่การเกษตร,ผู้ประกอบธุรกิจของตนเองที่ไม่ใช่การเกษตร,154.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,พิษณุโลก,รายได้ทั้งสิ้นต่อเดือน,รายได้ทั้งสิ้นต่อเดือน,รายได้ทั้งสิ้นต่อเดือน,ลูกจ้าง,ผู้จัดการนักวิชาการและผู้ปฏิบัติงานวิชาชีพ,51291.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,พิษณุโลก,รายได้ประจำ,รายได้ประจำ,รายได้ประจำ,ลูกจ้าง,ผู้จัดการนักวิชาการและผู้ปฏิบัติงานวิชาชีพ,51167.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,พิษณุโลก,รายได้ประจำ,รายได้ที่เป็นตัวเงิน,รายได้ที่เป็นตัวเงิน,ลูกจ้าง,ผู้จัดการนักวิชาการและผู้ปฏิบัติงานวิชาชีพ,45399.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,พิษณุโลก,รายได้ประจำ,รายได้ที่เป็นตัวเงิน,ค่าจ้างและเงินเดือน,ลูกจ้าง,ผู้จัดการนักวิชาการและผู้ปฏิบัติงานวิชาชีพ,39669.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,พิษณุโลก,รายได้ประจำ,รายได้ที่เป็นตัวเงิน,กำไรสุทธิจากการทำธุรกิจ,ลูกจ้าง,ผู้จัดการนักวิชาการและผู้ปฏิบัติงานวิชาชีพ,1591.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,พิษณุโลก,รายได้ประจำ,รายได้ที่เป็นตัวเงิน,กำไรสุทธิจากการทำการเกษตร,ลูกจ้าง,ผู้จัดการนักวิชาการและผู้ปฏิบัติงานวิชาชีพ,145.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,พิษณุโลก,รายได้ประจำ,รายได้ที่เป็นตัวเงิน,เงินที่ได้รับเป็นการช่วยเหลือ,ลูกจ้าง,ผู้จัดการนักวิชาการและผู้ปฏิบัติงานวิชาชีพ,3140.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,พิษณุโลก,รายได้ประจำ,รายได้ที่เป็นตัวเงิน,รายได้จากทรัพย์สิน,ลูกจ้าง,ผู้จัดการนักวิชาการและผู้ปฏิบัติงานวิชาชีพ,854.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,พิษณุโลก,รายได้ประจำ,รายได้ที่ไม่เป็นตัวเงิน,รายได้ที่ไม่เป็นตัวเงิน,ลูกจ้าง,ผู้จัดการนักวิชาการและผู้ปฏิบัติงานวิชาชีพ,5768.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,พิษณุโลก,รายได้ไม่ประจำ (ที่เป็นตัวเงิน),รายได้ไม่ประจำ (ที่เป็นตัวเงิน),รายได้ไม่ประจำ (ที่เป็นตัวเงิน),ลูกจ้าง,ผู้จัดการนักวิชาการและผู้ปฏิบัติงานวิชาชีพ,124.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,พิษณุโลก,รายได้ทั้งสิ้นต่อเดือน,รายได้ทั้งสิ้นต่อเดือน,รายได้ทั้งสิ้นต่อเดือน,ลูกจ้าง,คนงานเกษตรป่าไม้และประมง,16248.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,พิษณุโลก,รายได้ประจำ,รายได้ประจำ,รายได้ประจำ,ลูกจ้าง,คนงานเกษตรป่าไม้และประมง,16000.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,พิษณุโลก,รายได้ประจำ,รายได้ที่เป็นตัวเงิน,กำไรสุทธิจากการทำธุรกิจ,ลูกจ้าง,คนงานเกษตรป่าไม้และประมง,0.0,บาท,ศูนย์ยกกำลังดับเบิลยู หมายถึง ข้อมูลจากการสำรวจตัวอย่างมีค่าเป็น 0,สำนักงานสถิติแห่งชาติ
2566,พิษณุโลก,รายได้ประจำ,รายได้ที่เป็นตัวเงิน,กำไรสุทธิจากการทำการเกษตร,ลูกจ้าง,คนงานเกษตรป่าไม้และประมง,488.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,พิษณุโลก,รายได้ประจำ,รายได้ที่เป็นตัวเงิน,เงินที่ได้รับเป็นการช่วยเหลือ,ลูกจ้าง,คนงานเกษตรป่าไม้และประมง,425.0,บาท,,สำนักงานสถิติแห่งชาติ
