year,province,soc_eco_class1,soc_eco_class2,hhdebt_totaldebt,hhdebt_totaldebt_purpose_source,purpose_source_bor,value,unit,attribute,source
2566,เชียงราย,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,ประมงป่าไม้ล่าสัตว์หาของป่าบริการทางการเกษตร,จำนวนหนี้สินเฉลี่ยต่อครัวเรือน,จำแนกตามวัตถุประสงค์,ใช้ซื้อ/เช่าซื้อบ้านและ/หรือที่ดิน,0.0,บาท,ศูนย์ยกกำลังดับเบิลยู หมายถึง ข้อมูลจากการสำรวจตัวอย่างมีค่าเป็น 0,สำนักงานสถิติแห่งชาติ
2566,เชียงราย,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,ประมงป่าไม้ล่าสัตว์หาของป่าบริการทางการเกษตร,จำนวนหนี้สินเฉลี่ยต่อครัวเรือน,จำแนกตามวัตถุประสงค์,ใช้ในการศึกษา,0.0,บาท,ศูนย์ยกกำลังดับเบิลยู หมายถึง ข้อมูลจากการสำรวจตัวอย่างมีค่าเป็น 0,สำนักงานสถิติแห่งชาติ
2566,เชียงราย,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,ประมงป่าไม้ล่าสัตว์หาของป่าบริการทางการเกษตร,จำนวนหนี้สินเฉลี่ยต่อครัวเรือน,จำแนกตามวัตถุประสงค์,ใช้จ่ายอุปโภค บริโภคอื่น ๆ ในครัวเรือน,24679.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,เชียงราย,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,ประมงป่าไม้ล่าสัตว์หาของป่าบริการทางการเกษตร,จำนวนหนี้สินเฉลี่ยต่อครัวเรือน,จำแนกตามวัตถุประสงค์,ใช้ในการทำธุรกิจ,0.0,บาท,ศูนย์ยกกำลังดับเบิลยู หมายถึง ข้อมูลจากการสำรวจตัวอย่างมีค่าเป็น 0,สำนักงานสถิติแห่งชาติ
2566,เชียงราย,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,ประมงป่าไม้ล่าสัตว์หาของป่าบริการทางการเกษตร,จำนวนหนี้สินเฉลี่ยต่อครัวเรือน,จำแนกตามวัตถุประสงค์,หนี้อื่น ๆ,0.0,บาท,ศูนย์ยกกำลังดับเบิลยู หมายถึง ข้อมูลจากการสำรวจตัวอย่างมีค่าเป็น 0,สำนักงานสถิติแห่งชาติ
2566,เชียงราย,ผู้ประกอบธุรกิจของตนเองที่ไม่ใช่การเกษตร,ผู้ประกอบธุรกิจของตนเองที่ไม่ใช่การเกษตร,จำนวนครัวเรือนทั้งสิ้น,จำนวนครัวเรือนทั้งสิ้น,จำนวนครัวเรือนทั้งสิ้น,70055.0,ครัวเรือน,,สำนักงานสถิติแห่งชาติ
2566,เชียงราย,ผู้ประกอบธุรกิจของตนเองที่ไม่ใช่การเกษตร,ผู้ประกอบธุรกิจของตนเองที่ไม่ใช่การเกษตร,จำนวนหนี้สินเฉลี่ยต่อครัวเรือน,จำนวนหนี้สินเฉลี่ยต่อครัวเรือน,จำนวนหนี้สินเฉลี่ยต่อครัวเรือน,92685.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,เชียงราย,ลูกจ้าง,ผู้ปฏิบัติงานในกระบวนการผลิตก่อสร้างและเหมืองแร่,จำนวนหนี้สินเฉลี่ยต่อครัวเรือน,จำแนกตามวัตถุประสงค์,หนี้อื่น ๆ,2653.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,เชียงราย,ลูกจ้าง,ผู้ปฏิบัติงานในกระบวนการผลิตก่อสร้างและเหมืองแร่,จำนวนหนี้สินเฉลี่ยต่อครัวเรือน,จำแนกตามแหล่งเงินกู้,หนี้ในระบบ,41331.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,เชียงราย,ผู้ไม่ได้ปฏิบัติงานเชิงเศรษฐกิจ,ผู้ไม่ได้ปฏิบัติงานเชิงเศรษฐกิจ,จำนวนครัวเรือนทั้งสิ้น,จำนวนครัวเรือนทั้งสิ้น,จำนวนครัวเรือนทั้งสิ้น,118923.0,ครัวเรือน,,สำนักงานสถิติแห่งชาติ
2566,เชียงราย,ผู้ไม่ได้ปฏิบัติงานเชิงเศรษฐกิจ,ผู้ไม่ได้ปฏิบัติงานเชิงเศรษฐกิจ,จำนวนหนี้สินเฉลี่ยต่อครัวเรือน,จำแนกตามวัตถุประสงค์,ใช้ในการศึกษา,508.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,เชียงราย,ผู้ประกอบธุรกิจของตนเองที่ไม่ใช่การเกษตร,ผู้ประกอบธุรกิจของตนเองที่ไม่ใช่การเกษตร,จำนวนหนี้สินเฉลี่ยต่อครัวเรือน,จำแนกตามวัตถุประสงค์,ใช้ซื้อ/เช่าซื้อบ้านและ/หรือที่ดิน,28287.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,เชียงราย,ผู้ประกอบธุรกิจของตนเองที่ไม่ใช่การเกษตร,ผู้ประกอบธุรกิจของตนเองที่ไม่ใช่การเกษตร,จำนวนหนี้สินเฉลี่ยต่อครัวเรือน,จำแนกตามวัตถุประสงค์,ใช้ในการศึกษา,2099.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,เชียงราย,ผู้ประกอบธุรกิจของตนเองที่ไม่ใช่การเกษตร,ผู้ประกอบธุรกิจของตนเองที่ไม่ใช่การเกษตร,จำนวนหนี้สินเฉลี่ยต่อครัวเรือน,จำแนกตามวัตถุประสงค์,ใช้จ่ายอุปโภค บริโภคอื่น ๆ ในครัวเรือน,27726.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,เชียงราย,ผู้ประกอบธุรกิจของตนเองที่ไม่ใช่การเกษตร,ผู้ประกอบธุรกิจของตนเองที่ไม่ใช่การเกษตร,จำนวนหนี้สินเฉลี่ยต่อครัวเรือน,จำแนกตามวัตถุประสงค์,ใช้ในการทำธุรกิจ,11046.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,เชียงราย,ผู้ประกอบธุรกิจของตนเองที่ไม่ใช่การเกษตร,ผู้ประกอบธุรกิจของตนเองที่ไม่ใช่การเกษตร,จำนวนหนี้สินเฉลี่ยต่อครัวเรือน,จำแนกตามวัตถุประสงค์,ใช้ในการทำเกษตร,23528.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,เชียงราย,ผู้ประกอบธุรกิจของตนเองที่ไม่ใช่การเกษตร,ผู้ประกอบธุรกิจของตนเองที่ไม่ใช่การเกษตร,จำนวนหนี้สินเฉลี่ยต่อครัวเรือน,จำแนกตามวัตถุประสงค์,หนี้อื่น ๆ,0.0,บาท,ศูนย์ยกกำลังดับเบิลยู หมายถึง ข้อมูลจากการสำรวจตัวอย่างมีค่าเป็น 0,สำนักงานสถิติแห่งชาติ
