year,province,soc_eco_class1,soc_eco_class2,hhindebt_totalindebt,hhindebt_totalindebt_purpose_source,purpose_bor,value,unit,attribute,source
2566,หนองคาย,ลูกจ้าง,ผู้จัดการนักวิชาการและผู้ปฏิบัติงานวิชาชีพ,จำนวนหนี้สินเฉลี่ยต่อครัวเรือนที่เป็นหนี้,จำแนกตามวัตถุประสงค์,ใช้ในการทำธุรกิจ,70063.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,เลย,ผู้ไม่ได้ปฏิบัติงานเชิงเศรษฐกิจ,ผู้ไม่ได้ปฏิบัติงานเชิงเศรษฐกิจ,จำนวนหนี้สินเฉลี่ยต่อครัวเรือนที่เป็นหนี้,จำแนกตามแหล่งเงินกู้,หนี้นอกระบบ,0.0,บาท,ศูนย์ยกกำลังดับเบิลยู หมายถึง ข้อมูลจากการสำรวจตัวอย่างมีค่าเป็น 0,สำนักงานสถิติแห่งชาติ
2566,หนองคาย,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,ปลูกพืช/เลี้ยงสัตว์/เพาะเลี้ยง_ส่วนใหญ่เป็นเจ้าของที่ดิน,จำนวนครัวเรือนที่เป็นหนี้ทั้งสิ้น,จำนวนครัวเรือนที่เป็นหนี้ทั้งสิ้น,จำนวนครัวเรือนที่เป็นหนี้ทั้งสิ้น,20772.0,ครัวเรือน,,สำนักงานสถิติแห่งชาติ
2566,หนองคาย,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,ปลูกพืช/เลี้ยงสัตว์/เพาะเลี้ยง_ส่วนใหญ่เป็นเจ้าของที่ดิน,จำนวนหนี้สินเฉลี่ยต่อครัวเรือนที่เป็นหนี้,จำนวนหนี้สินเฉลี่ยต่อครัวเรือนที่เป็นหนี้,จำนวนหนี้สินเฉลี่ยต่อครัวเรือนที่เป็นหนี้,253560.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,หนองคาย,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,ปลูกพืช/เลี้ยงสัตว์/เพาะเลี้ยง_ส่วนใหญ่เป็นเจ้าของที่ดิน,จำนวนหนี้สินเฉลี่ยต่อครัวเรือนที่เป็นหนี้,จำแนกตามวัตถุประสงค์,ใช้ซื้อ/เช่าซื้อบ้านและ/หรือที่ดิน,19109.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,หนองคาย,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,ปลูกพืช/เลี้ยงสัตว์/เพาะเลี้ยง_ส่วนใหญ่เป็นเจ้าของที่ดิน,จำนวนหนี้สินเฉลี่ยต่อครัวเรือนที่เป็นหนี้,จำแนกตามวัตถุประสงค์,ใช้ในการศึกษา,2162.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,หนองคาย,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,ปลูกพืช/เลี้ยงสัตว์/เพาะเลี้ยง_ส่วนใหญ่เป็นเจ้าของที่ดิน,จำนวนหนี้สินเฉลี่ยต่อครัวเรือนที่เป็นหนี้,จำแนกตามวัตถุประสงค์,ใช้จ่ายอุปโภคบริโภคอื่น ๆ ในครัวเรือน,85892.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,หนองคาย,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,ปลูกพืช/เลี้ยงสัตว์/เพาะเลี้ยง_ส่วนใหญ่เป็นเจ้าของที่ดิน,จำนวนหนี้สินเฉลี่ยต่อครัวเรือนที่เป็นหนี้,จำแนกตามวัตถุประสงค์,ใช้ในการทำธุรกิจ,3026.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,หนองคาย,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,ปลูกพืช/เลี้ยงสัตว์/เพาะเลี้ยง_ส่วนใหญ่เป็นเจ้าของที่ดิน,จำนวนหนี้สินเฉลี่ยต่อครัวเรือนที่เป็นหนี้,จำแนกตามวัตถุประสงค์,ใช้ในการทำเกษตร,143371.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,หนองคาย,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,ปลูกพืช/เลี้ยงสัตว์/เพาะเลี้ยง_ส่วนใหญ่เป็นเจ้าของที่ดิน,จำนวนหนี้สินเฉลี่ยต่อครัวเรือนที่เป็นหนี้,จำแนกตามวัตถุประสงค์,หนี้อื่น ๆ,0.0,บาท,ศูนย์ยกกำลังดับเบิลยู หมายถึง ข้อมูลจากการสำรวจตัวอย่างมีค่าเป็น 0,สำนักงานสถิติแห่งชาติ
2566,หนองคาย,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,ปลูกพืช/เลี้ยงสัตว์/เพาะเลี้ยง_ส่วนใหญ่เป็นเจ้าของที่ดิน,จำนวนหนี้สินเฉลี่ยต่อครัวเรือนที่เป็นหนี้,จำแนกตามแหล่งเงินกู้,หนี้ในระบบ,252984.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,หนองคาย,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,ปลูกพืช/เลี้ยงสัตว์/เพาะเลี้ยง_ส่วนใหญ่เป็นเจ้าของที่ดิน,จำนวนหนี้สินเฉลี่ยต่อครัวเรือนที่เป็นหนี้,จำแนกตามแหล่งเงินกู้,หนี้นอกระบบ,576.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,หนองคาย,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,ปลูกพืช/เลี้ยงสัตว์/เพาะเลี้ยง_ส่วนใหญ่เช่าที่ดิน/ทำฟรี,จำนวนครัวเรือนที่เป็นหนี้ทั้งสิ้น,จำนวนครัวเรือนที่เป็นหนี้ทั้งสิ้น,จำนวนครัวเรือนที่เป็นหนี้ทั้งสิ้น,1329.0,ครัวเรือน,,สำนักงานสถิติแห่งชาติ
2566,หนองคาย,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,ปลูกพืช/เลี้ยงสัตว์/เพาะเลี้ยง_ส่วนใหญ่เช่าที่ดิน/ทำฟรี,จำนวนหนี้สินเฉลี่ยต่อครัวเรือนที่เป็นหนี้,จำนวนหนี้สินเฉลี่ยต่อครัวเรือนที่เป็นหนี้,จำนวนหนี้สินเฉลี่ยต่อครัวเรือนที่เป็นหนี้,175321.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,หนองคาย,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,ปลูกพืช/เลี้ยงสัตว์/เพาะเลี้ยง_ส่วนใหญ่เช่าที่ดิน/ทำฟรี,จำนวนหนี้สินเฉลี่ยต่อครัวเรือนที่เป็นหนี้,จำแนกตามวัตถุประสงค์,ใช้ซื้อ/เช่าซื้อบ้านและ/หรือที่ดิน,0.0,บาท,ศูนย์ยกกำลังดับเบิลยู หมายถึง ข้อมูลจากการสำรวจตัวอย่างมีค่าเป็น 0,สำนักงานสถิติแห่งชาติ
2566,ร้อยเอ็ด,ลูกจ้าง,คนงานด้านการขนส่งและงานพื้นฐาน,จำนวนครัวเรือนที่เป็นหนี้ทั้งสิ้น,จำนวนครัวเรือนที่เป็นหนี้ทั้งสิ้น,จำนวนครัวเรือนที่เป็นหนี้ทั้งสิ้น,5170.0,ครัวเรือน,,สำนักงานสถิติแห่งชาติ
2566,ร้อยเอ็ด,ลูกจ้าง,คนงานด้านการขนส่งและงานพื้นฐาน,จำนวนหนี้สินเฉลี่ยต่อครัวเรือนที่เป็นหนี้,จำแนกตามวัตถุประสงค์,ใช้จ่ายอุปโภคบริโภคอื่น ๆ ในครัวเรือน,21208.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,ร้อยเอ็ด,ลูกจ้าง,คนงานด้านการขนส่งและงานพื้นฐาน,จำนวนหนี้สินเฉลี่ยต่อครัวเรือนที่เป็นหนี้,จำแนกตามวัตถุประสงค์,ใช้ในการทำเกษตร,151082.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,หนองคาย,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,ปลูกพืช/เลี้ยงสัตว์/เพาะเลี้ยง_ส่วนใหญ่เช่าที่ดิน/ทำฟรี,จำนวนหนี้สินเฉลี่ยต่อครัวเรือนที่เป็นหนี้,จำแนกตามวัตถุประสงค์,ใช้ในการศึกษา,0.0,บาท,ศูนย์ยกกำลังดับเบิลยู หมายถึง ข้อมูลจากการสำรวจตัวอย่างมีค่าเป็น 0,สำนักงานสถิติแห่งชาติ
