year,province,mthincome_mthexp_totaldebt_pctexptoincome,soc_eco_class1,soc_eco_class2,value,unit,attribute,source
2566,กรุงเทพมหานคร,ค่าใช้จ่ายทั้งสิ้นต่อเดือน,ลูกจ้าง,เสมียนพนักงานขายและให้บริการ,25577.00,บาท,,สำนักงานสถิติแห่งชาติ
2566,กรุงเทพมหานคร,ค่าใช้จ่ายทั้งสิ้นต่อเดือน,ลูกจ้าง,ผู้ปฏิบัติงานในกระบวนการผลิตก่อสร้างและเหมืองแร่,24759.00,บาท,,สำนักงานสถิติแห่งชาติ
2566,กรุงเทพมหานคร,ค่าใช้จ่ายทั้งสิ้นต่อเดือน,ผู้ไม่ได้ปฏิบัติงานเชิงเศรษฐกิจ,ผู้ไม่ได้ปฏิบัติงานเชิงเศรษฐกิจ,24492.00,บาท,,สำนักงานสถิติแห่งชาติ
2566,กรุงเทพมหานคร,หนี้สินเฉลี่ยต่อครัวเรือนทั้งสิ้น,รวมทั้งสิ้น,รวมทั้งสิ้น,161050.00,บาท,,สำนักงานสถิติแห่งชาติ
2566,กรุงเทพมหานคร,หนี้สินเฉลี่ยต่อครัวเรือนทั้งสิ้น,ผู้ประกอบธุรกิจของตนเองที่ไม่ใช่การเกษตร,ผู้ประกอบธุรกิจของตนเองที่ไม่ใช่การเกษตร,206130.00,บาท,,สำนักงานสถิติแห่งชาติ
2566,กรุงเทพมหานคร,หนี้สินเฉลี่ยต่อครัวเรือนทั้งสิ้น,ลูกจ้าง,ผู้จัดการนักวิชาการและผู้ปฏิบัติงานวิชาชีพ,341510.00,บาท,,สำนักงานสถิติแห่งชาติ
2566,กรุงเทพมหานคร,หนี้สินเฉลี่ยต่อครัวเรือนทั้งสิ้น,ลูกจ้าง,คนงานเกษตรป่าไม้และประมง,19290.00,บาท,,สำนักงานสถิติแห่งชาติ
2566,กรุงเทพมหานคร,หนี้สินเฉลี่ยต่อครัวเรือนทั้งสิ้น,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,ปลูกพืช/เลี้ยงสัตว์/เพาะเลี้ยง_ส่วนใหญ่เป็นเจ้าของที่ดิน,.00,บาท,"ศูนย์ยกกำลังดับเบิลยู หมายถึง ข้อมูลจากการสำรวจตัวอย่างมีค่าเป็น 0",สำนักงานสถิติแห่งชาติ
2566,กรุงเทพมหานคร,หนี้สินเฉลี่ยต่อครัวเรือนทั้งสิ้น,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,ปลูกพืช/เลี้ยงสัตว์/เพาะเลี้ยง_ส่วนใหญ่เช่าที่ดิน/ทำฟรี,.00,บาท,"ศูนย์ยกกำลังดับเบิลยู หมายถึง ข้อมูลจากการสำรวจตัวอย่างมีค่าเป็น 0",สำนักงานสถิติแห่งชาติ
2566,กรุงเทพมหานคร,หนี้สินเฉลี่ยต่อครัวเรือนทั้งสิ้น,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,ประมงป่าไม้ล่าสัตว์หาของป่าบริการทางการเกษตร,.00,บาท,"ศูนย์ยกกำลังดับเบิลยู หมายถึง ข้อมูลจากการสำรวจตัวอย่างมีค่าเป็น 0",สำนักงานสถิติแห่งชาติ
2566,กรุงเทพมหานคร,หนี้สินเฉลี่ยต่อครัวเรือนทั้งสิ้น,ลูกจ้าง,คนงานด้านการขนส่งและงานพื้นฐาน,53168.00,บาท,,สำนักงานสถิติแห่งชาติ
2566,กรุงเทพมหานคร,หนี้สินเฉลี่ยต่อครัวเรือนทั้งสิ้น,ลูกจ้าง,เสมียนพนักงานขายและให้บริการ,101097.00,บาท,,สำนักงานสถิติแห่งชาติ
2566,กรุงเทพมหานคร,หนี้สินเฉลี่ยต่อครัวเรือนทั้งสิ้น,ลูกจ้าง,ผู้ปฏิบัติงานในกระบวนการผลิตก่อสร้างและเหมืองแร่,69616.00,บาท,,สำนักงานสถิติแห่งชาติ
2566,กรุงเทพมหานคร,หนี้สินเฉลี่ยต่อครัวเรือนทั้งสิ้น,ผู้ไม่ได้ปฏิบัติงานเชิงเศรษฐกิจ,ผู้ไม่ได้ปฏิบัติงานเชิงเศรษฐกิจ,34832.00,บาท,,สำนักงานสถิติแห่งชาติ
2566,กรุงเทพมหานคร,ร้อยละของค่าใช้จ่ายต่อรายได้,รวมทั้งสิ้น,รวมทั้งสิ้น,81.74,ร้อยละ,,สำนักงานสถิติแห่งชาติ
2566,กรุงเทพมหานคร,ร้อยละของค่าใช้จ่ายต่อรายได้,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,ปลูกพืช/เลี้ยงสัตว์/เพาะเลี้ยง_ส่วนใหญ่เป็นเจ้าของที่ดิน,95.33,ร้อยละ,,สำนักงานสถิติแห่งชาติ
