YEAR,CODE_REGION,REGION,INCOME_PER_HH1,INCOME_PER_HH2,INCOME_PER_HH3,INCOME_PER_HH4,INCOME_PER_HH5,INCOME_PER_HH6,INCOME_PER_HH7,INCOME_PER_HH8,INCOME_PER_HH9,INCOME_PER_HH10,INCOME_PER_PP1,INCOME_PER_PP2,INCOME_PER_PP3,INCOME_PER_PP4,INCOME_PER_PP5,INCOME_PER_PP6,INCOME_PER_PP7,INCOME_PER_PP8,INCOME_PER_PP9,INCOME_PER_PP10,INCOME_PER_PP11,UNIT,SOURCE
2566,0,ทั่วราชอาณาจักร,100,0.1,0.2,1.6,12.7,17.4,36.4,19.0,10.4,2.1,100,0.1,0.3,4.5,14.5,34.5,20.4,19.8,4.4,1.3,0.3,ร้อยละ,สำนักงานสถิติแห่งชาติ
2566,1,กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ,100,,0.0,0.2,2.7,11.4,36.5,26.9,18.6,3.8,100,,,0.3,1.8,19.7,30.6,36.8,8.2,2.1,0.5,ร้อยละ,สำนักงานสถิติแห่งชาติ
2566,2,กลาง,100,0.2,0.2,1.4,10.0,15.3,38.4,21.8,10.8,2.0,100,0.1,0.3,2.7,10.2,34.2,23.4,22.9,4.8,1.3,0.2,ร้อยละ,สำนักงานสถิติแห่งชาติ
2566,3,เหนือ,100,0.1,0.5,2.6,19.4,20.2,34.9,14.7,6.1,1.6,100,0.1,0.6,6.2,21.1,42.2,14.8,11.4,2.6,1.0,0.2,ร้อยละ,สำนักงานสถิติแห่งชาติ
2566,4,ตะวันออกเฉียงเหนือ,100,0.1,0.2,2.3,19.8,22.6,35.3,12.4,6.3,1.1,100,0.1,0.4,7.9,23.8,40.9,13.8,9.6,2.4,1.0,0.1,ร้อยละ,สำนักงานสถิติแห่งชาติ
2566,5,ใต้,100,0.1,0.2,2.1,12.9,18.2,36.7,18.6,9.2,2.1,100,0.1,0.5,6.3,18.0,38.3,17.1,15.0,3.3,1.1,0.3,ร้อยละ,สำนักงานสถิติแห่งชาติ
