Year,Region,Area,Source_loan,Purpose_borrow,value,unit,source
2566,ทั่วราชอาณาจักร,นอกเขตเทศบาล,หนี้นอกระบบ,ใช้จ่ายอุปโภคบริโภคอื่นๆ ในครัวเรือน,326940,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ทั่วราชอาณาจักร,นอกเขตเทศบาล,หนี้นอกระบบ,ใช้ในการทำธุรกิจ,49715,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ทั่วราชอาณาจักร,นอกเขตเทศบาล,หนี้นอกระบบ,ใช้ในการทำการเกษตร,55298,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ทั่วราชอาณาจักร,นอกเขตเทศบาล,หนี้นอกระบบ,อื่นๆ,7416,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ,รวม,รวม,รวม,1903273,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ,รวม,หนี้ในระบบ ,ใช้ซื้อ/เช่าซื้อบ้านและ/หรือที่ดิน,603416,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ,รวม,หนี้ในระบบ ,ใช้ในการศึกษา,68286,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ,รวม,หนี้ในระบบ ,ใช้จ่ายอุปโภคบริโภคอื่นๆ ในครัวเรือน,1281865,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ,รวม,หนี้ในระบบ ,ใช้ในการทำธุรกิจ,111803,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ,รวม,หนี้ในระบบ ,ใช้ในการทำการเกษตร,14771,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ,รวม,หนี้ในระบบ ,อื่นๆ,2399,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ,รวม,หนี้นอกระบบ,ใช้ซื้อ/เช่าซื้อบ้านและ/หรือที่ดิน,5397,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ,รวม,หนี้นอกระบบ,ใช้ในการศึกษา,7657,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ,รวม,หนี้นอกระบบ,ใช้จ่ายอุปโภคบริโภคอื่นๆ ในครัวเรือน,137656,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ,รวม,หนี้นอกระบบ,ใช้ในการทำธุรกิจ,35626,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ,รวม,หนี้นอกระบบ,ใช้ในการทำการเกษตร,2728,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ,รวม,หนี้นอกระบบ,อื่นๆ,908,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ,ในเขตเทศบาล,รวม,รวม,1540991,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ,ในเขตเทศบาล,หนี้ในระบบ ,ใช้ซื้อ/เช่าซื้อบ้านและ/หรือที่ดิน,468782,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ,ในเขตเทศบาล,หนี้ในระบบ ,ใช้ในการศึกษา,61299,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ,ในเขตเทศบาล,หนี้ในระบบ ,ใช้จ่ายอุปโภคบริโภคอื่นๆ ในครัวเรือน,1035846,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ,ในเขตเทศบาล,หนี้ในระบบ ,ใช้ในการทำธุรกิจ,91023,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ,ในเขตเทศบาล,หนี้ในระบบ ,ใช้ในการทำการเกษตร,7819,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ,ในเขตเทศบาล,หนี้ในระบบ ,อื่นๆ,2399,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ,ในเขตเทศบาล,หนี้นอกระบบ,ใช้ซื้อ/เช่าซื้อบ้านและ/หรือที่ดิน,4337,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ,ในเขตเทศบาล,หนี้นอกระบบ,ใช้ในการศึกษา,4953,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ,ในเขตเทศบาล,หนี้นอกระบบ,ใช้จ่ายอุปโภคบริโภคอื่นๆ ในครัวเรือน,127398,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ,ในเขตเทศบาล,หนี้นอกระบบ,ใช้ในการทำธุรกิจ,32380,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ,ในเขตเทศบาล,หนี้นอกระบบ,ใช้ในการทำการเกษตร,2728,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ,ในเขตเทศบาล,หนี้นอกระบบ,อื่นๆ,908,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ,นอกเขตเทศบาล,รวม,รวม,362282,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ,นอกเขตเทศบาล,หนี้ในระบบ ,ใช้ซื้อ/เช่าซื้อบ้านและ/หรือที่ดิน,134634,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ,นอกเขตเทศบาล,หนี้ในระบบ ,ใช้ในการศึกษา,6987,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ,นอกเขตเทศบาล,หนี้ในระบบ ,ใช้จ่ายอุปโภคบริโภคอื่นๆ ในครัวเรือน,246019,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ,นอกเขตเทศบาล,หนี้ในระบบ ,ใช้ในการทำธุรกิจ,20781,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ,นอกเขตเทศบาล,หนี้ในระบบ ,ใช้ในการทำการเกษตร,6951,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ,นอกเขตเทศบาล,หนี้ในระบบ ,อื่นๆ,0,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ,นอกเขตเทศบาล,หนี้นอกระบบ,ใช้ซื้อ/เช่าซื้อบ้านและ/หรือที่ดิน,1061,ครัวเรือน,สำนักงานสถิติแห่งชาติ
