Year,Region,Area,Type_debt,value,unit,source
2566,ภาคเหนือ,รวม,มีหนี้ทั้งในและนอกระบบ,48808,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคเหนือ,ในเขตเทศบาล,รวม,623164,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคเหนือ,ในเขตเทศบาล,มีหนี้ในระบบอย่างเดียว,589052,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคเหนือ,ในเขตเทศบาล,มีหนี้นอกระบบอย่างเดียว,21507,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคเหนือ,ในเขตเทศบาล,มีหนี้ทั้งในและนอกระบบ,12605,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคเหนือ,นอกเขตเทศบาล,รวม,1357211,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคเหนือ,นอกเขตเทศบาล,มีหนี้ในระบบอย่างเดียว,1278853,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคเหนือ,นอกเขตเทศบาล,มีหนี้นอกระบบอย่างเดียว,42155,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคเหนือ,นอกเขตเทศบาล,มีหนี้ทั้งในและนอกระบบ,36203,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคตะวันออกเฉียงเหนือ,รวม,รวม,3626069,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคตะวันออกเฉียงเหนือ,รวม,มีหนี้ในระบบอย่างเดียว,3479908,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคตะวันออกเฉียงเหนือ,รวม,มีหนี้นอกระบบอย่างเดียว,77443,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคตะวันออกเฉียงเหนือ,รวม,มีหนี้ทั้งในและนอกระบบ,68718,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคตะวันออกเฉียงเหนือ,ในเขตเทศบาล,รวม,1008401,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคตะวันออกเฉียงเหนือ,ในเขตเทศบาล,มีหนี้ในระบบอย่างเดียว,954269,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคตะวันออกเฉียงเหนือ,ในเขตเทศบาล,มีหนี้นอกระบบอย่างเดียว,36232,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคตะวันออกเฉียงเหนือ,ในเขตเทศบาล,มีหนี้ทั้งในและนอกระบบ,17900,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคตะวันออกเฉียงเหนือ,นอกเขตเทศบาล,รวม,2617668,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคตะวันออกเฉียงเหนือ,นอกเขตเทศบาล,มีหนี้ในระบบอย่างเดียว,2525639,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคตะวันออกเฉียงเหนือ,นอกเขตเทศบาล,มีหนี้นอกระบบอย่างเดียว,41210,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคตะวันออกเฉียงเหนือ,นอกเขตเทศบาล,มีหนี้ทั้งในและนอกระบบ,50818,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคใต้,รวม,รวม,1404092,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคใต้,รวม,มีหนี้ในระบบอย่างเดียว,1213280,ครัวเรือน,สำนักงานสถิติแห่งชาติ
